track,seed,strategy,n_labels,macro_f1,weighted_f1,balanced_acc,f1_agn,f1_cep,f1_cv,f1_ecl,f1_lpv,f1_rr,f1_sn,f1_yso
b,0,random,40,0.39049868158580986,0.6878972136405503,0.62555919887738,0.6957044157404626,0.1292723263506064,0.07879924953095685,0.7131512828506978,0.7867564534231201,0.256662705822441,0.003877042370534478,0.4597659765976598
b,0,random,90,0.5674519577001693,0.8915042892859443,0.6738556048125858,0.8070334451191878,0.5593108018555335,0.0787704130643612,0.9380107941403238,0.961966941292295,0.6325029655990511,0.006993006993006993,0.5550272935375946
b,0,random,140,0.6202683586291873,0.9191022626629745,0.7074968890515703,0.859178386380459,0.5418848167539267,0.1971252566735113,0.9532410558959231,0.9689239695773765,0.6978436657681941,0.0070921985815602835,0.736857519402548
b,0,random,190,0.678408905347057,0.9326444698572517,0.7328866677158868,0.9122743354803593,0.5197255574614065,0.5114155251141552,0.9588712458578862,0.9705828803287643,0.7125563063063063,0.018691588785046728,0.823153803442532
b,0,random,240,0.6798810566292599,0.9350466622544874,0.7227090634359379,0.9273000974054724,0.49658314350797267,0.5229357798165137,0.9614950383266979,0.9693158691227887,0.7231866088034717,0.01892744479495268,0.8193044712562101
b,0,uncertainty,40,0.39049868158580986,0.6878972136405503,0.62555919887738,0.6957044157404626,0.1292723263506064,0.07879924953095685,0.7131512828506978,0.7867564534231201,0.256662705822441,0.003877042370534478,0.4597659765976598
b,0,uncertainty,90,0.4056402862659924,0.701004851917649,0.5633727504055618,0.5819025522041763,0.27972027972027974,0.11146161934805468,0.6643463786483061,0.9576086956521739,0.1971419630749974,0.0025926886180969665,0.45034811286185417
b,0,uncertainty,140,0.5251489468277386,0.7982672259799813,0.6221289383999147,0.878434189261986,0.4206081081081081,0.32418952618453867,0.7822301709156557,0.9622218748371633,0.20753308449270444,0.005912786400591279,0.6200618344211611
b,0,uncertainty,190,0.6030382802663903,0.8449457415261536,0.6813464695875664,0.8919867235656709,0.5354477611940298,0.44368600682593856,0.8312015852999459,0.9701217263002582,0.2986707178123813,0.007058823529411765,0.8461328976034859
b,0,uncertainty,240,0.6648411405709594,0.8906440911353938,0.694119051147869,0.9462929475587704,0.6362007168458781,0.6309523809523809,0.9014144943527501,0.9729136737625702,0.3539479689639434,0.01892744479495268,0.8580794973364294
b,0,margin,40,0.39049868158580986,0.6878972136405503,0.62555919887738,0.6957044157404626,0.1292723263506064,0.07879924953095685,0.7131512828506978,0.7867564534231201,0.256662705822441,0.003877042370534478,0.4597659765976598
b,0,margin,90,0.5632596836784094,0.8627675375267366,0.7265909219218116,0.7261342414588597,0.43097643097643096,0.26695842450765866,0.8915939439383546,0.964878384458619,0.4849699398797595,0.007434944237918215,0.733131159969674
