track,seed,strategy,n_labels,macro_f1,weighted_f1,balanced_acc,f1_agn,f1_cep,f1_cv,f1_ecl,f1_lpv,f1_rr,f1_yso
b,0,random,14,0.44016505351493723,0.7244805688340551,0.5656853326013358,0.5937291527685123,0.08603552224213785,0.14029850746268657,0.7880427195309228,0.8257291107532654,0.3008913082490878,0.3464290535979479
b,0,random,29,0.5222442078432932,0.8172725771709289,0.5996336088429473,0.8058005427408412,0.13872022419430172,0.3261538461538461,0.9201326640372893,0.8590055726884164,0.3999407933688573,0.20595581171950048
b,0,random,44,0.572052613684738,0.8512296642618435,0.6190577408592745,0.7692182675117829,0.30952380952380953,0.4375,0.949319896309673,0.9288851651560159,0.4931262274593822,0.11679492983250339
b,0,random,59,0.5744324792889682,0.850309997171677,0.5803471438921824,0.7710352692025739,0.31643625192012287,0.47761194029850745,0.9473440707862244,0.9351445877791013,0.4317399617590822,0.14171527327716568
b,0,random,74,0.5877077222519305,0.8656411144089928,0.602380116810117,0.7758549987697859,0.32195750160978753,0.3393939393939394,0.9523155679596436,0.9380602276160741,0.6654375265919728,0.12093429382230954
b,0,random,89,0.6294813352280434,0.8805312549640316,0.6173676784955935,0.7726085537055175,0.3391003460207612,0.4383561643835616,0.9614972944044716,0.9419559631178516,0.7550258472142447,0.19782517774989544
b,0,random,104,0.6294009471933737,0.8818954255271405,0.6214079254460367,0.7742515949615574,0.3379073756432247,0.41975308641975306,0.9611926100979474,0.9438343743703406,0.7494914269107817,0.21937616195001033
b,0,random,119,0.6236076226931421,0.8763247422701729,0.6076135548246945,0.7803148957217048,0.34688346883468835,0.4370860927152318,0.9586309919983435,0.9393939393939394,0.7167995187246202,0.186144451463466
b,0,random,134,0.6537924731478638,0.8864060109099916,0.6487677845704191,0.7790927021696252,0.2979094076655052,0.5432098765432098,0.9581749049429658,0.9488421639992898,0.7263655462184874,0.3229527104959631
b,0,random,149,0.6603490800820879,0.8952352475774451,0.6460405391863757,0.8075445933259366,0.2926829268292683,0.44594594594594594,0.9572631642041538,0.9509382081116174,0.714170475934391,0.45389824622330266
b,0,random,164,0.6935862977814731,0.8977074742709175,0.6771865535560199,0.837039672656111,0.29233511586452765,0.6303030303030303,0.9595830642375452,0.9409705727929595,0.7214832728738412,0.4733893557422969
b,0,random,179,0.6888604656805991,0.8973945048107685,0.6747708382413767,0.8419265481190242,0.31078610603290674,0.5605095541401274,0.9563164108618654,0.9407381476295259,0.7171641791044776,0.49458231387626705
b,0,random,194,0.6937563010081871,0.8941239311463052,0.6773483302553288,0.8796967699406724,0.35102925243770317,0.631578947368421,0.9556987025614536,0.9390488948425988,0.7150511446663419,0.384190395240119
b,0,random,209,0.6942799712069326,0.898943071646363,0.6674887231390223,0.8902650483031954,0.3420479302832244,0.6174496644295302,0.9638304891581442,0.936783313562673,0.7559248161263961,0.35365853658536583
b,0,random,224,0.7226853540931689,0.9197175783432487,0.6932821786659137,0.9096893990546928,0.31874298540965207,0.5341614906832298,0.9646215186860272,0.9517255389928642,0.7667894587701899,0.6130670870555264
b,0,random,239,0.7387559710165965,0.9225513239594102,0.7046351751025978,0.9119861531804414,0.3258306538049303,0.5921052631578947,0.9642437668188103,0.9526137549970718,0.7623522711092126,0.6621599340478154
b,0,random,254,0.728622076698634,0.923113323325114,0.6972191087362419,0.9158780231335436,0.317937701396348,0.5100671140939598,0.9622621863239472,0.954724510155011,0.7392354696603667,0.7002495321272614
b,0,random,269,0.7429438256299271,0.9285393960734883,0.7165683725884749,0.9115824386837741,0.31419939577039274,0.5503355704697986,0.9649739135634521,0.9582361235739008,0.7695495993368334,0.7317297380113376
b,0,random,284,0.7567322842697141,0.9315702416102066,0.7274624184282867,0.92353770260747,0.33507853403141363,0.5815602836879432,0.9629407980370741,0.9622223367520486,0.7553293907302985,0.7764569440417513
b,0,random,299,0.7667410142197991,0.9385919382755752,0.7366355139092221,0.9450193467110591,0.3223052294557097,0.5774647887323944,0.9663819192867898,0.9631063950636408,0.7745516652433817,0.8183577550456179
b,0,random,314,0.7768734361038597,0.938833536388152,0.7474463185792504,0.9437376814191005,0.33297062023939067,0.64,0.9666532504509339,0.9635190918472653,0.7766657134686874,0.8145676953016403
b,0,random,329,0.7757497217931331,0.9380345079820817,0.7450255346831878,0.9417144906743186,0.34273318872017355,0.6357615894039735,0.966808256949102,0.9628353180216558,0.7738248321188741,0.8065703766638346
b,0,random,344,0.7868107997468511,0.9396597076197096,0.7627124176359805,0.9537119458785829,0.3347921225382932,0.6962025316455697,0.9660737812911726,0.9637983418301663,0.7771538145459526,0.8159430604982206
b,0,random,359,0.7898672796997622,0.9403529324083092,0.7617609744121978,0.9530428584157533,0.32905982905982906,0.7152317880794702,0.9664343195620307,0.9643712806244686,0.7800692041522491,0.8208616780045351
b,0,random,374,0.7867161710569358,0.9405373714519948,0.7630616314915251,0.9522111269614836,0.33368532206969376,0.6838709677419355,0.966260879968893,0.9645063723082491,0.7825368406555571,0.823941687692739
b,0,random,389,0.7823837966354635,0.9431314917710594,0.7504077146590736,0.9542134331017281,0.3390216154721274,0.625,0.9683404153450237,0.9660206651930293,0.7976206944252318,0.8264697529111048
b,0,random,404,0.7823781530262648,0.9428093965398333,0.7502781694271612,0.9521680822530174,0.34823529411764703,0.6197183098591549,0.9675720164609054,0.966976876079503,0.7934767712758668,0.8284997211377579
b,0,random,419,0.7819514440632591,0.9422010532454566,0.7478474850734276,0.9558060475934872,0.34530706836616454,0.624113475177305,0.9681597248186645,0.9639303802349796,0.7966759002770083,0.8196675119752043
b,0,random,434,0.795023346728661,0.9416377804117688,0.7637151314945879,0.956467328148744,0.33605600933488916,0.7307692307692307,0.9678410548611318,0.9631685814891922,0.7996081724041422,0.811253050093297
b,0,random,449,0.7896343305252785,0.9421095068280562,0.7515171868509373,0.9571198856530284,0.354577056778679,0.6713286713286714,0.9683249821045097,0.9630428641138249,0.8014025245441795,0.8116443291540568
b,0,random,464,0.7876702933175527,0.9419241464268394,0.7522334735747044,0.9593380193967435,0.3419811320754717,0.6711409395973155,0.9679564601506002,0.9633983572895277,0.7978142076502732,0.8120629370629371
b,0,random,479,0.7910906684703767,0.9424183341173621,0.7565359434110587,0.9592291908287983,0.342042755344418,0.6887417218543046,0.9682747927723776,0.9633378722092336,0.8020716685330347,0.8139366777504699
b,0,random,494,0.7883495785678514,0.9411184427568,0.7561608763852593,0.9580988117573483,0.3404761904761905,0.6838709677419355,0.9673346962529659,0.9628109771736343,0.7958757140866657,0.8099796924862199
b,0,random,509,0.7844227663697351,0.9415799094719434,0.7501960357347468,0.9563350035790981,0.33926453143534996,0.6533333333333333,0.9673138289940652,0.9642710472279261,0.7943977591036414,0.8160438609147309
b,0,random,524,0.7823703042466565,0.9423294239128257,0.7520604616554518,0.95772633836804,0.3486454652532391,0.625,0.9681337163439356,0.9644435309834549,0.7957173447537473,0.8169257340241797
b,0,random,539,0.7887136600963958,0.9422984581707087,0.7559765633155188,0.9557443004023245,0.3419811320754717,0.6753246753246753,0.9679860562813771,0.9646447764264225,0.7951398700197796,0.8201748101447198
b,0,random,554,0.7881431035491312,0.9421000706561122,0.7560898465108442,0.9551569506726457,0.3393939393939394,0.6753246753246753,0.9671813520925241,0.9658385892650276,0.7941915666015079,0.8199146514935989
b,0,random,569,0.7856104539446136,0.9421044930997157,0.7526058865456177,0.953686285048822,0.33014354066985646,0.6666666666666666,0.9677621096832795,0.9653008205365641,0.7966197183098591,0.8190940366972477
b,0,random,584,0.7862000211131256,0.9427881108662045,0.7523663692918493,0.9565995525727069,0.31873479318734793,0.6711409395973155,0.9676285250346358,0.9659401246972742,0.7999440794072418,0.8234121332953575
b,0,random,599,0.7909742899664675,0.9438186561902434,0.7594613130427919,0.955796646642159,0.33095238095238094,0.6797385620915033,0.968232928736317,0.9658090986504271,0.8073523221551845,0.8289380905373008
b,0,random,614,0.8231282741830368,0.9473805540329959,0.7893818888983725,0.9597429260019638,0.5226824457593688,0.697986577181208,0.9696996808923086,0.9665368043551176,0.8160090510535992,0.8292404340376928
b,0,random,629,0.8136448116282827,0.9470717981509903,0.7743245689424835,0.9611918993665804,0.4672897196261682,0.6853146853146853,0.9698124441798154,0.9666640884832547,0.8181299885974914,0.8271108558299828
b,0,random,644,0.8123632558831125,0.9502600499961292,0.7767390332235135,0.960427807486631,0.4979757085020243,0.6153846153846154,0.9729431582713436,0.9664671894345852,0.8463497453310697,0.8269945667715184
